X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.236405563354492188e+01;1.744106101989746094e+01;-9.099006652832031250e-03;2.137897491455078125e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688817330944e+18
-1.243610000610351562e+01;1.794872283935546875e+01;-1.020336151123046875e-02;2.183605575561523438e+01;2.100000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688817349888e+18
-1.245678997039794922e+01;1.843619918823242188e+01;-1.131725311279296875e-02;2.225006103515625000e+01;1.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688817368320e+18
-1.249140357971191406e+01;1.892509078979492188e+01;-1.150894165039062500e-02;2.267585372924804688e+01;2.000000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688817384960e+18
-1.252045154571533203e+01;1.945174598693847656e+01;-1.268959045410156250e-02;2.313292694091796875e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688817401856e+18
-1.207348728179931641e+01;1.920356750488281250e+01;-1.241302490234375000e-02;2.268361282348632812e+01;5.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688817416960e+18
-1.177165794372558594e+01;1.965460968017578125e+01;-1.343250274658203125e-02;2.291016769409179688e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688817446144e+18
-5.402372360229492188e+00;9.262296676635742188e+00;-6.715774536132812500e-03;1.072267723083496094e+01;1.300000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688817460480e+18
-5.260594367980957031e+00;9.240352630615234375e+00;-6.641387939453125000e-03;1.063287448883056641e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.500000000000000000e+01;1.602859688817473536e+18
-5.194002151489257812e+00;9.371795654296875000e+00;-7.115364074707031250e-03;1.071486186981201172e+01;2.700000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.500000000000000000e+01;1.602859688817487104e+18
-7.327199935913085938e+00;2.546692848205566406e+01;-2.403640747070312500e-02;2.650005531311035156e+01;6.100000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688817714688e+18
-7.069493293762207031e+00;2.561668014526367188e+01;-2.395725250244140625e-02;2.657428550720214844e+01;6.100000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688817724416e+18
-6.843188285827636719e+00;2.577103042602539062e+01;-2.589893341064453125e-02;2.666413116455078125e+01;6.400000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;8.000000000000000000e+00;1.602859688817733376e+18
