X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.236928272247314453e+01;1.742779159545898438e+01;-1.000595092773437500e-02;2.137117576599121094e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688406660096e+18
-1.240442371368408203e+01;1.792789268493652344e+01;-1.018619537353515625e-02;2.180089759826660156e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688406680064e+18
-1.248080158233642578e+01;1.846236801147460938e+01;-1.133632659912109375e-02;2.228518676757812500e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688406697472e+18
-1.236791896820068359e+01;1.875378417968750000e+01;-1.235198974609375000e-02;2.246486091613769531e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688406715136e+18
-1.253959465026855469e+01;1.947649574279785156e+01;-1.270675659179687500e-02;2.316409873962402344e+01;1.800000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688406730752e+18
-1.183717250823974609e+01;1.979751586914062500e+01;-1.352119445800781250e-02;2.306643676757812500e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859688406776064e+18
-5.374691963195800781e+00;9.201551437377929688e+00;-6.675720214843750000e-03;1.065626144409179688e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688406789632e+18
-5.307475090026855469e+00;9.335021972656250000e+00;-6.706237792968750000e-03;1.073834133148193359e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859688406803456e+18
-5.198774337768554688e+00;9.369180679321289062e+00;-7.116317749023437500e-03;1.071488952636718750e+01;2.400000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859688406816512e+18
-6.997246742248535156e+00;1.770242309570312500e+01;-1.583957672119140625e-02;1.903516387939453125e+01;5.000000000000000000e+00;2.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688406954752e+18
-7.344368934631347656e+00;2.545386886596679688e+01;-2.504253387451171875e-02;2.649225997924804688e+01;6.100000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407043840e+18
-7.078627586364746094e+00;2.563030624389648438e+01;-2.497386932373046875e-02;2.658985137939453125e+01;5.600000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859688407053568e+18
-6.821172714233398438e+00;2.578503036499023438e+01;-2.389907836914062500e-02;2.667202186584472656e+01;5.100000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407063296e+18
-6.518361091613769531e+00;2.566162490844726562e+01;-2.653694152832031250e-02;2.647657012939453125e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407072256e+18
-6.307040214538574219e+00;2.602406883239746094e+01;-2.666187286376953125e-02;2.677744674682617188e+01;8.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407081472e+18
-5.865619659423828125e+00;2.672325706481933594e+01;-2.687454223632812500e-02;2.735943412780761719e+01;6.000000000000000000e+00;3.700000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407100416e+18
-5.049357414245605469e+00;2.706428146362304688e+01;-2.648258209228515625e-02;2.753129196166992188e+01;6.000000000000000000e+00;4.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407127296e+18
-2.119326591491699219e+00;2.675220108032226562e+01;-2.822208404541015625e-02;2.683603096008300781e+01;6.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407215104e+18
4.364175796508789062e-01;2.825061225891113281e+01;-2.891921997070312500e-02;2.825399780273437500e+01;1.300000000000000000e+01;5.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688407292672e+18
7.089729309082031250e-01;2.815523147583007812e+01;-3.086280822753906250e-02;2.816417312622070312e+01;1.700000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407300864e+18
1.017356872558593750e+00;2.801678848266601562e+01;-3.015708923339843750e-02;2.803527069091796875e+01;8.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859688407309568e+18
1.336659431457519531e+00;2.355197143554687500e+01;-2.585124969482421875e-02;2.358988571166992188e+01;1.300000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859688407326464e+18
1.463698387145996094e+00;2.181821632385253906e+01;-2.346992492675781250e-02;2.186727142333984375e+01;8.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859688407335168e+18
1.528639793395996094e+00;1.954972076416015625e+01;-2.124881744384765625e-02;1.960940551757812500e+01;1.300000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407343872e+18
1.655812263488769531e+00;1.862974548339843750e+01;-2.044963836669921875e-02;1.870319557189941406e+01;8.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859688407352576e+18
1.806221008300781250e+00;1.827817153930664062e+01;-1.963329315185546875e-02;1.836720848083496094e+01;1.500000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859688407361024e+18
1.898415565490722656e+00;1.731819915771484375e+01;-1.878452301025390625e-02;1.742195129394531250e+01;1.300000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;1.900000000000000000e+01;1.602859688407369472e+18
1.864153861999511719e+00;1.549767112731933594e+01;-1.644039154052734375e-02;1.560939311981201172e+01;1.700000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;1.700000000000000000e+01;1.602859688407378432e+18
2.019853591918945312e+00;1.542303085327148438e+01;-1.598453521728515625e-02;1.555473995208740234e+01;1.300000000000000000e+01;7.000000000000000000e+01;0.000000000000000000e+00;2.400000000000000000e+01;1.602859688407387136e+18
2.330412864685058594e+00;1.651611328125000000e+01;-1.784610748291015625e-02;1.667972183227539062e+01;1.300000000000000000e+01;7.100000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859688407395584e+18
2.673303604125976562e+00;1.759501647949218750e+01;-1.857280731201171875e-02;1.779695129394531250e+01;1.300000000000000000e+01;7.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+01;1.602859688407404288e+18
4.107192039489746094e+00;2.523834609985351562e+01;-2.689170837402343750e-02;2.557037162780761719e+01;6.000000000000000000e+00;7.300000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859688407412992e+18
4.106956481933593750e+00;2.372530746459960938e+01;-2.465343475341796875e-02;2.407816314697265625e+01;1.300000000000000000e+01;7.400000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+01;1.602859688407421696e+18
4.123063087463378906e+00;2.244878196716308594e+01;-2.353763580322265625e-02;2.282428550720214844e+01;1.300000000000000000e+01;7.500000000000000000e+01;0.000000000000000000e+00;1.200000000000000000e+01;1.602859688407430400e+18
4.352051734924316406e+00;2.232993698120117188e+01;-2.363491058349609375e-02;2.275009918212890625e+01;1.300000000000000000e+01;7.600000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859688407439360e+18
4.040074348449707031e+00;1.964760971069335938e+01;-2.025794982910156250e-02;2.005869293212890625e+01;1.700000000000000000e+01;7.700000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407448320e+18
4.052162170410156250e+00;1.875082588195800781e+01;-1.950168609619140625e-02;1.918368721008300781e+01;1.700000000000000000e+01;7.800000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688407457024e+18
4.139845848083496094e+00;1.821518325805664062e+01;-1.911830902099609375e-02;1.867971038818359375e+01;2.300000000000000000e+01;7.900000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688407465984e+18
4.197490692138671875e+00;1.762026596069335938e+01;-1.799201965332031250e-02;1.811333847045898438e+01;2.000000000000000000e+01;8.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688407474944e+18
4.362716674804687500e+00;1.749559783935546875e+01;-1.735782623291015625e-02;1.803134918212890625e+01;4.400000000000000000e+01;8.100000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407484160e+18
4.547992706298828125e+00;1.750886154174804688e+01;-1.818943023681640625e-02;1.808990859985351562e+01;4.500000000000000000e+01;8.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407492864e+18
4.753378868103027344e+00;1.753114700317382812e+01;-1.769542694091796875e-02;1.816414070129394531e+01;4.500000000000000000e+01;8.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407502080e+18
4.919402122497558594e+00;1.742433357238769531e+01;-1.706027984619140625e-02;1.810547447204589844e+01;4.300000000000000000e+01;8.400000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407511296e+18
5.060492515563964844e+00;1.725775146484375000e+01;-1.772308349609375000e-02;1.798440742492675781e+01;4.300000000000000000e+01;8.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688407520512e+18
5.218821525573730469e+00;1.713302612304687500e+01;-1.706600189208984375e-02;1.791024780273437500e+01;4.300000000000000000e+01;8.600000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407529728e+18
5.378868103027343750e+00;1.702612495422363281e+01;-1.642227172851562500e-02;1.785557174682617188e+01;4.600000000000000000e+01;8.700000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407538944e+18
5.524751663208007812e+00;1.687248229980468750e+01;-1.641654968261718750e-02;1.775398063659667969e+01;4.700000000000000000e+01;8.800000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859688407548672e+18
5.670057296752929688e+00;1.674998474121093750e+01;-1.643276214599609375e-02;1.768365859985351562e+01;4.300000000000000000e+01;8.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688407557888e+18
5.765240669250488281e+00;1.645689392089843750e+01;-1.628780364990234375e-02;1.743753433227539062e+01;2.300000000000000000e+01;9.000000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859688407567616e+18
5.830552101135253906e+00;1.611443901062011719e+01;-1.541423797607421875e-02;1.713682365417480469e+01;4.600000000000000000e+01;9.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407577088e+18
6.020059585571289062e+00;1.613219070434570312e+01;-1.488304138183593750e-02;1.721885299682617188e+01;4.400000000000000000e+01;9.200000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688407586816e+18
6.221608161926269531e+00;1.615185928344726562e+01;-1.503181457519531250e-02;1.730870246887207031e+01;4.800000000000000000e+01;9.300000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859688407596544e+18
6.419966697692871094e+00;1.617064285278320312e+01;-1.517677307128906250e-02;1.739844512939453125e+01;5.100000000000000000e+01;9.400000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859688407606784e+18
6.600178718566894531e+00;1.614859008789062500e+01;-1.458835601806640625e-02;1.744532966613769531e+01;4.800000000000000000e+01;9.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407616512e+18
6.800586700439453125e+00;1.616278839111328125e+01;-1.472568511962890625e-02;1.753521919250488281e+01;2.200000000000000000e+01;9.600000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859688407626752e+18
7.011568069458007812e+00;1.619591522216796875e+01;-1.417350769042968750e-02;1.764851188659667969e+01;4.900000000000000000e+01;9.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859688407636992e+18
