X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.237134265899658203e+01;1.743598556518554688e+01;-9.099006652832031250e-03;2.137905120849609375e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859693745374464e+18
-1.230541515350341797e+01;1.778255081176757812e+01;-1.010417938232421875e-02;2.162504196166992188e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859693745394176e+18
-1.232103633880615234e+01;1.821216583251953125e+01;-1.118564605712890625e-02;2.198843002319335938e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859693745411840e+18
-1.245247459411621094e+01;1.888054656982421875e+01;-1.147842407226562500e-02;2.261723518371582031e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859693745429248e+18
-1.253715801239013672e+01;1.945027160644531250e+01;-1.269531250000000000e-02;2.314073371887207031e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;7.000000000000000000e+00;1.602859693745445120e+18
-1.206159687042236328e+01;1.920196151733398438e+01;-1.240825653076171875e-02;2.267592620849609375e+01;1.000000000000000000e+01;5.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859693745461248e+18
-1.182897472381591797e+01;1.977510452270507812e+01;-1.447391510009765625e-02;2.304299545288085938e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859693745490432e+18
-5.497213363647460938e+00;9.415013313293457031e+00;-6.829261779785156250e-03;1.090237903594970703e+01;1.200000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859693745504256e+18
-5.300273895263671875e+00;9.321124076843261719e+00;-6.695747375488281250e-03;1.072270011901855469e+01;1.800000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.700000000000000000e+01;1.602859693745517824e+18
-5.192965507507324219e+00;9.372420310974121094e+00;-7.115364074707031250e-03;1.071490573883056641e+01;1.900000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;2.100000000000000000e+01;1.602859693745531648e+18
