X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.239358234405517578e+01;1.748711013793945312e+01;-9.121894836425781250e-03;2.143361854553222656e+01;1.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388056320e+18
-1.244091701507568359e+01;1.797382354736328125e+01;-1.021385192871093750e-02;2.185943412780761719e+01;1.900000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388075264e+18
-1.235136222839355469e+01;1.828110122680664062e+01;-1.028633117675781250e-02;2.206252288818359375e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388093696e+18
-1.240527820587158203e+01;1.880419158935546875e+01;-1.143360137939453125e-02;2.252750968933105469e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388110336e+18
-1.252637577056884766e+01;1.943852233886718750e+01;-1.268672943115234375e-02;2.312501716613769531e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388126464e+18
-1.205589294433593750e+01;1.918698501586914062e+01;-1.335430145263671875e-02;2.266020965576171875e+01;7.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388142336e+18
-1.180002689361572266e+01;1.972414016723632812e+01;-1.443767547607421875e-02;2.298439788818359375e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388171520e+18
-5.426902770996093750e+00;9.306796073913574219e+00;-6.747245788574218750e-03;1.077347564697265625e+01;1.500000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388185856e+18
-5.322961807250976562e+00;9.348667144775390625e+00;-6.719589233398437500e-03;1.075785923004150391e+01;2.100000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.300000000000000000e+01;1.602859695388199168e+18
-5.175065994262695312e+00;9.337629318237304688e+00;-7.089614868164062500e-03;1.067579841613769531e+01;1.700000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;2.700000000000000000e+01;1.602859695388212480e+18
-7.332369804382324219e+00;2.549386978149414062e+01;-2.406024932861328125e-02;2.652737426757812500e+01;6.200000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388440064e+18
-7.094954490661621094e+00;2.563399696350097656e+01;-2.498912811279296875e-02;2.659775924682617188e+01;5.200000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388449280e+18
-6.826706886291503906e+00;2.577540016174316406e+01;-2.588844299316406250e-02;2.666413116455078125e+01;4.700000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859695388458752e+18
-6.530525207519531250e+00;2.578358268737792969e+01;-2.566051483154296875e-02;2.659777259826660156e+01;1.500000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388468224e+18
-6.303283691406250000e+00;2.604500961303710938e+01;-2.568721771240234375e-02;2.679691314697265625e+01;7.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388477696e+18
-5.486394882202148438e+00;2.631313323974609375e+01;-2.525138854980468750e-02;2.687902832031250000e+01;6.000000000000000000e+00;3.800000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388505088e+18
-3.319990158081054688e+00;2.714147567749023438e+01;-2.884483337402343750e-02;2.734379005432128906e+01;6.000000000000000000e+00;4.600000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388576000e+18
-3.058993339538574219e+00;2.736088943481445312e+01;-2.880573272705078125e-02;2.753137397766113281e+01;5.000000000000000000e+00;4.700000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388584704e+18
-2.764384269714355469e+00;2.755308532714843750e+01;-2.870845794677734375e-02;2.769142723083496094e+01;6.000000000000000000e+00;4.800000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388593664e+18
-2.138506889343261719e+00;2.680161285400390625e+01;-2.828979492187500000e-02;2.688680839538574219e+01;5.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388610816e+18
4.347305297851562500e-01;2.843033599853515625e+01;-2.998161315917968750e-02;2.843367576599121094e+01;7.000000000000000000e+00;5.900000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859695388688128e+18
7.325773239135742188e-01;2.833429908752441406e+01;-3.019142150878906250e-02;2.834378433227539062e+01;1.500000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859695388697088e+18
1.006639480590820312e+00;2.807573509216308594e+01;-3.109645843505859375e-02;2.809379196166992188e+01;8.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;8.000000000000000000e+00;1.602859695388705280e+18
1.218149185180664062e+00;2.620611763000488281e+01;-2.848529815673828125e-02;2.623443031311035156e+01;8.000000000000000000e+00;6.200000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388713984e+18
1.355283737182617188e+00;2.369566154479980469e+01;-2.525329589843750000e-02;2.373440170288085938e+01;1.000000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388722432e+18
1.460450172424316406e+00;2.152478790283203125e+01;-2.246856689453125000e-02;2.157428741455078125e+01;6.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388731392e+18
1.541675567626953125e+00;1.984253692626953125e+01;-2.155685424804687500e-02;1.990234947204589844e+01;1.200000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388739584e+18
1.721422195434570312e+00;1.941604232788085938e+01;-2.066230773925781250e-02;1.949221420288085938e+01;6.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388748288e+18
1.789873123168945312e+00;1.803254699707031250e+01;-1.877021789550781250e-02;1.812116813659667969e+01;1.300000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388756992e+18
1.887710571289062500e+00;1.718574142456054688e+01;-1.806163787841796875e-02;1.728911399841308594e+01;1.700000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+01;1.602859695388765696e+18
1.878510475158691406e+00;1.567695236206054688e+01;-1.662445068359375000e-02;1.578910732269287109e+01;1.600000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859695388774144e+18
2.007921218872070312e+00;1.534970283508300781e+01;-1.643657684326171875e-02;1.548048400878906250e+01;1.300000000000000000e+01;7.000000000000000000e+01;0.000000000000000000e+00;3.300000000000000000e+01;1.602859695388782848e+18
2.355037689208984375e+00;1.663491821289062500e+01;-1.740169525146484375e-02;1.680080413818359375e+01;1.600000000000000000e+01;7.100000000000000000e+01;0.000000000000000000e+00;1.700000000000000000e+01;1.602859695388791552e+18
2.713050842285156250e+00;1.788524627685546875e+01;-1.887512207031250000e-02;1.808986091613769531e+01;1.200000000000000000e+01;7.200000000000000000e+01;0.000000000000000000e+00;1.200000000000000000e+01;1.602859695388800000e+18
3.025279998779296875e+00;1.864684677124023438e+01;-1.985931396484375000e-02;1.889067459106445312e+01;8.000000000000000000e+00;7.300000000000000000e+01;0.000000000000000000e+00;1.500000000000000000e+01;1.602859695388808704e+18
3.940896034240722656e+00;2.272735214233398438e+01;-2.362251281738281250e-02;2.306650733947753906e+01;9.000000000000000000e+00;7.400000000000000000e+01;0.000000000000000000e+00;1.300000000000000000e+01;1.602859695388817664e+18
4.161810874938964844e+00;2.259654045104980469e+01;-2.370262145996093750e-02;2.297661590576171875e+01;1.300000000000000000e+01;7.500000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388826624e+18
4.345479011535644531e+00;2.233118247985839844e+01;-2.363014221191406250e-02;2.275006484985351562e+01;1.300000000000000000e+01;7.600000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859695388835072e+18
4.009252548217773438e+00;1.951035690307617188e+01;-2.011489868164062500e-02;1.991804504394531250e+01;1.700000000000000000e+01;7.700000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388844032e+18
4.049563407897949219e+00;1.871141624450683594e+01;-1.946544647216796875e-02;1.914461898803710938e+01;1.700000000000000000e+01;7.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859695388852992e+18
4.136526107788085938e+00;1.821600723266601562e+01;-1.843357086181640625e-02;1.867977714538574219e+01;2.200000000000000000e+01;7.900000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388861696e+18
4.205573081970214844e+00;1.767851448059082031e+01;-1.804637908935546875e-02;1.817187500000000000e+01;2.200000000000000000e+01;8.000000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388870656e+18
4.363352775573730469e+00;1.750751686096191406e+01;-1.803588867187500000e-02;1.804306793212890625e+01;3.900000000000000000e+01;8.100000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388879872e+18
4.560084342956542969e+00;1.752991104125976562e+01;-1.754093170166015625e-02;1.811332321166992188e+01;4.200000000000000000e+01;8.200000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388888832e+18
4.746050834655761719e+00;1.751687240600585938e+01;-1.767826080322265625e-02;1.814844703674316406e+01;4.200000000000000000e+01;8.300000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388897792e+18
4.912409782409667969e+00;1.740198135375976562e+01;-1.771926879882812500e-02;1.808206367492675781e+01;4.600000000000000000e+01;8.400000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695388907008e+18
5.066756248474121094e+00;1.726407241821289062e+01;-1.773262023925781250e-02;1.799223518371582031e+01;4.400000000000000000e+01;8.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388916480e+18
5.220435142517089844e+00;1.713247680664062500e+01;-1.706695556640625000e-02;1.791019248962402344e+01;4.400000000000000000e+01;8.600000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695388925696e+18
5.365724563598632812e+00;1.700159454345703125e+01;-1.639461517333984375e-02;1.782822227478027344e+01;4.200000000000000000e+01;8.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859695388934912e+18
5.524330139160156250e+00;1.687674331665039062e+01;-1.641941070556640625e-02;1.775789833068847656e+01;4.600000000000000000e+01;8.800000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859695388944384e+18
5.684821128845214844e+00;1.677800750732421875e+01;-1.577758789062500000e-02;1.771493721008300781e+01;4.500000000000000000e+01;8.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388953856e+18
5.748867988586425781e+00;1.642127609252929688e+01;-1.557254791259765625e-02;1.739850616455078125e+01;2.500000000000000000e+01;9.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695388963328e+18
5.842804908752441406e+00;1.615150451660156250e+01;-1.477622985839843750e-02;1.717584609985351562e+01;4.000000000000000000e+01;9.100000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695388973056e+18
6.024127960205078125e+00;1.613064193725585938e+01;-1.488399505615234375e-02;1.721882629394531250e+01;4.600000000000000000e+01;9.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388982784e+18
6.217116355895996094e+00;1.614510917663574219e+01;-1.502418518066406250e-02;1.730078887939453125e+01;4.700000000000000000e+01;9.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695388992512e+18
6.421787261962890625e+00;1.617834854125976562e+01;-1.449298858642578125e-02;1.740627861022949219e+01;4.900000000000000000e+01;9.400000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695389002496e+18
6.611561775207519531e+00;1.616924858093261719e+01;-1.460933685302734375e-02;1.746875953674316406e+01;4.400000000000000000e+01;9.500000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859695389012480e+18
6.795620918273925781e+00;1.615641975402832031e+01;-1.401710510253906250e-02;1.752742385864257812e+01;2.900000000000000000e+01;9.600000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695389022464e+18
7.011234283447265625e+00;1.620452880859375000e+01;-1.417827606201171875e-02;1.765628433227539062e+01;4.400000000000000000e+01;9.700000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695389032704e+18
7.219775199890136719e+00;1.621961975097656250e+01;-1.431465148925781250e-02;1.775391197204589844e+01;5.100000000000000000e+01;9.800000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695389043200e+18
7.421155929565429688e+00;1.622732543945312500e+01;-1.372051239013671875e-02;1.784376144409179688e+01;3.800000000000000000e+01;9.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695389053696e+18
7.617274284362792969e+00;1.622693443298339844e+01;-1.383399963378906250e-02;1.792585945129394531e+01;4.200000000000000000e+01;1.000000000000000000e+02;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695389064192e+18
7.827048301696777344e+00;1.623526382446289062e+01;-1.322555541992187500e-02;1.802350234985351562e+01;3.700000000000000000e+01;1.010000000000000000e+02;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695389075200e+18
8.035676956176757812e+00;1.624633407592773438e+01;-1.334571838378906250e-02;1.812500000000000000e+01;2.300000000000000000e+01;1.020000000000000000e+02;0.000000000000000000e+00;1.600000000000000000e+01;1.602859695389085952e+18
7.000266075134277344e+00;1.379858303070068359e+01;-1.079559326171875000e-02;1.547270965576171875e+01;2.100000000000000000e+01;1.030000000000000000e+02;0.000000000000000000e+00;1.600000000000000000e+01;1.602859695389097216e+18
7.189874649047851562e+00;1.381972312927246094e+01;-1.090526580810546875e-02;1.557816314697265625e+01;1.900000000000000000e+01;1.040000000000000000e+02;0.000000000000000000e+00;1.700000000000000000e+01;1.602859695389108736e+18
7.361985206604003906e+00;1.381301689147949219e+01;-1.034450531005859375e-02;1.565242385864257812e+01;1.700000000000000000e+01;1.050000000000000000e+02;0.000000000000000000e+00;1.900000000000000000e+01;1.602859695389120000e+18
