X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.236647796630859375e+01;1.744886779785156250e+01;-9.101867675781250000e-03;2.138674545288085938e+01;2.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859676086550016e+18
-1.241099739074707031e+01;1.793286132812500000e+01;-1.019001007080078125e-02;2.180872535705566406e+01;1.800000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859676086568704e+18
-1.232761287689208984e+01;1.823113441467285156e+01;-1.119518280029296875e-02;2.200782585144042969e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859676086586624e+18
-1.235897445678710938e+01;1.873639106750488281e+01;-1.139163970947265625e-02;2.244541740417480469e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859676086604032e+18
-1.254330348968505859e+01;1.946479034423828125e+01;-1.270389556884765625e-02;2.315626716613769531e+01;1.800000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859676086619904e+18
-1.178757095336914062e+01;1.970428085327148438e+01;-1.346015930175781250e-02;2.296096038818359375e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859676086665216e+18
-5.438514709472656250e+00;9.327159881591796875e+00;-6.311416625976562500e-03;1.079691600799560547e+01;1.600000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859676086679552e+18
-5.293969154357910156e+00;9.297748565673828125e+00;-6.682395935058593750e-03;1.069926548004150391e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859676086692608e+18
-5.175065994262695312e+00;9.337629318237304688e+00;-7.089614868164062500e-03;1.067579841613769531e+01;2.400000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859676086706176e+18
-7.324810981750488281e+00;2.546759033203125000e+01;-2.403545379638671875e-02;2.650003051757812500e+01;6.400000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859676086933760e+18
-7.092237472534179688e+00;2.561857223510742188e+01;-2.597522735595703125e-02;2.658217048645019531e+01;5.600000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859676086942720e+18
-6.821516990661621094e+00;2.576055526733398438e+01;-2.587318420410156250e-02;2.664845085144042969e+01;5.600000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;9.000000000000000000e+00;1.602859676086952192e+18
-6.509425163269042969e+00;2.570027542114257812e+01;-2.557754516601562500e-02;2.651183509826660156e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859676086961920e+18
-6.312169075012207031e+00;2.600672912597656250e+01;-2.467632293701171875e-02;2.676180267333984375e+01;1.100000000000000000e+01;3.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859676086970624e+18
-6.113701820373535156e+00;2.637495422363281250e+01;-2.778530120849609375e-02;2.707427406311035156e+01;6.000000000000000000e+00;3.600000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859676086980096e+18
-5.881155014038085938e+00;2.675980186462402344e+01;-2.791500091552734375e-02;2.739846229553222656e+01;6.000000000000000000e+00;3.700000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859676086989312e+18
-5.525312423706054688e+00;2.650447463989257812e+01;-2.641391754150390625e-02;2.707428550720214844e+01;6.000000000000000000e+00;3.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859676086998784e+18
-3.349480628967285156e+00;2.737395668029785156e+01;-2.909374237060546875e-02;2.757813262939453125e+01;6.000000000000000000e+00;4.600000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859676087069440e+18
-2.766333580017089844e+00;2.757251930236816406e+01;-2.872943878173828125e-02;2.771095848083496094e+01;6.000000000000000000e+00;4.800000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859676087087104e+18
-2.515772819519042969e+00;2.805544662475585938e+01;-2.894878387451171875e-02;2.816803169250488281e+01;6.000000000000000000e+00;4.900000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859676087096064e+18
4.340276718139648438e-01;2.838347816467285156e+01;-3.081321716308593750e-02;2.838681411743164062e+01;1.300000000000000000e+01;5.900000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859676087181824e+18
