X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.238284873962402344e+01;1.744690322875976562e+01;-1.001739501953125000e-02;2.139461326599121094e+01;1.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695798726144e+18
-1.241553688049316406e+01;1.794395446777343750e+01;-1.019477844238281250e-02;2.182043075561523438e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695798746112e+18
-1.246445274353027344e+01;1.844052124023437500e+01;-1.132202148437500000e-02;2.225793266296386719e+01;2.000000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695798763520e+18
-1.251379108428955078e+01;1.897593307495117188e+01;-1.153564453125000000e-02;2.273062133789062500e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859695798781184e+18
-1.243386459350585938e+01;1.931227493286132812e+01;-1.259994506835937500e-02;2.296878623962402344e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859695798797056e+18
-1.216736316680908203e+01;1.937533378601074219e+01;-1.251888275146484375e-02;2.287899589538574219e+01;6.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695798813184e+18
-1.173293399810791016e+01;1.962317848205566406e+01;-1.340293884277343750e-02;2.286331176757812500e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859695798842368e+18
-5.384543418884277344e+00;9.218416213989257812e+00;-6.688117980957031250e-03;1.067579269409179688e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859695798855936e+18
-5.320989608764648438e+00;9.358792304992675781e+00;-6.723403930664062500e-03;1.076568508148193359e+01;2.200000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859695798869760e+18
-5.191710472106933594e+00;9.355206489562988281e+00;-7.106781005859375000e-03;1.069924259185791016e+01;2.100000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+01;1.602859695798882560e+18
-7.655234336853027344e+00;2.559461975097656250e+01;-2.335453033447265625e-02;2.671493530273437500e+01;5.000000000000000000e+00;3.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859695799101184e+18
