X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.237455368041992188e+01;1.745276451110839844e+01;-1.001644134521484375e-02;2.139459419250488281e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859678550571776e+18
-1.240394496917724609e+01;1.790909767150878906e+01;-1.017951965332031250e-02;2.178517150878906250e+01;1.900000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859678550590720e+18
-1.241198635101318359e+01;1.836756134033203125e+01;-1.127624511718750000e-02;2.216810417175292969e+01;1.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859678550608896e+18
-1.237964057922363281e+01;1.874620437622070312e+01;-1.140308380126953125e-02;2.246499061584472656e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859678550625792e+18
-1.237994384765625000e+01;1.923099136352539062e+01;-1.254558563232421875e-02;2.287125205993652344e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859678550642432e+18
-1.244082736968994141e+01;1.978019714355468750e+01;-1.278781890869140625e-02;2.336729621887207031e+01;5.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859678550657792e+18
-1.177584362030029297e+01;1.966576385498046875e+01;-1.439952850341796875e-02;2.292188835144042969e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859678550686976e+18
-5.370882987976074219e+00;9.208309173583984375e+00;-6.676673889160156250e-03;1.066017723083496094e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859678550701312e+18
-5.249173164367675781e+00;9.228819847106933594e+00;-6.630897521972656250e-03;1.061720180511474609e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.500000000000000000e+01;1.602859678550715136e+18
-5.176135063171386719e+00;9.337072372436523438e+00;-7.089614868164062500e-03;1.067582988739013672e+01;2.700000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+01;1.602859678550727936e+18
-7.324352264404296875e+00;2.545154953002929688e+01;-2.502536773681640625e-02;2.648448944091796875e+01;6.500000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859678550955520e+18
-7.077177047729492188e+00;2.563890647888183594e+01;-2.497959136962890625e-02;2.659775543212890625e+01;7.700000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859678550965248e+18
-6.830447196960449219e+00;2.574201202392578125e+01;-2.586555480957031250e-02;2.663281631469726562e+01;6.000000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859678550974208e+18
-6.515225410461425781e+00;2.569883728027343750e+01;-2.558040618896484375e-02;2.651186561584472656e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859678550983680e+18
-6.303771972656250000e+00;2.603689002990722656e+01;-2.568149566650390625e-02;2.678913688659667969e+01;8.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859678550993152e+18
